molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL242237,NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,inactive,25000.0,321.34000000000003,2.7683,4.0,6.0
CHEMBL395080,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,inactive,5000.0,549.6310000000002,5.271500000000002,4.0,7.0
CHEMBL389745,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,inactive,10000.0,577.6850000000002,6.006600000000003,4.0,7.0
CHEMBL242753,O=C(NCc1ccncc1)c1ccc2c(c1)Cc1c(-c3ccc(-c4ccc(O)cc4)cc3)n[nH]c1-2,inactive,50000.0,458.52100000000013,5.345500000000005,3.0,4.0
CHEMBL438485,O=C(N[C@H]1CC[C@H](O)CC1)c1ccc2c(c1)Cc1c(-c3ccc(-c4ccc(O)cc4)cc3)n[nH]c1-2,inactive,50000.0,465.5530000000001,5.053800000000004,4.0,4.0
CHEMBL232599,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCN(C(=O)CCN1CCCCC1)C2,inactive,10000.0,472.61400000000054,4.785980000000005,1.0,5.0
CHEMBL233794,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2S(=O)(=O)c1ccccc1,inactive,10000.0,473.5790000000003,5.166780000000004,1.0,5.0
CHEMBL391656,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2Cc1cccnc1,inactive,10000.0,424.5290000000003,5.373080000000003,1.0,5.0
CHEMBL391655,CS(=O)(=O)c1ccc(CN2CCCc3c2sc(NC(=O)c2cccc4ccccc24)c3C#N)cc1,inactive,10000.0,501.63300000000015,5.381580000000005,1.0,6.0
CHEMBL232610,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)c1cc[nH]n1,inactive,10000.0,427.48900000000026,4.341380000000003,2.0,5.0
CHEMBL232601,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1,inactive,10000.0,401.4910000000003,4.714480000000003,1.0,4.0
CHEMBL398601,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCN(S(=O)(=O)c1ccccc1)C2,inactive,10000.0,473.5790000000003,4.772280000000004,1.0,5.0
CHEMBL232600,CN(C)CC(=O)N1CCc2c(sc(NC(=O)c3cccc4ccccc34)c2C#N)C1,inactive,10000.0,418.52200000000016,3.471580000000002,1.0,5.0
CHEMBL395157,COc1ccc2[nH]c3c(c2c1)CCNC3C(=O)O,inactive,100000.0,246.266,1.4479,3.0,3.0
CHEMBL247619,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1,active,448.0,509.42000000000013,3.387600000000001,4.0,8.0
CHEMBL247250,CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,active,508.0,462.43800000000016,3.4753000000000007,4.0,8.0
CHEMBL247798,CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,active,824.0,476.46500000000015,3.865400000000002,4.0,8.0
CHEMBL247797,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)cnn2C)cn1,active,899.0,479.48800000000006,4.042700000000002,4.0,7.0
CHEMBL437943,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccnc4)cc3c21,active,210.0,320.3520000000001,2.6621000000000006,3.0,3.0
CHEMBL246089,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCC(N)=O)cs4)cc3c21,inactive,1500.0,426.4580000000002,0.9387000000000005,5.0,6.0
CHEMBL246088,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCCN(C)C)cs4)cc3c21,inactive,1300.0,454.55600000000027,2.405100000000001,4.0,6.0
CHEMBL245884,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCN(C)C)cs4)cc3c21,inactive,1900.0,440.5290000000002,2.0150000000000006,4.0,6.0
CHEMBL397332,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(N)=O)cs4)cc3c21,active,560.0,369.4060000000001,1.8225,4.0,5.0
CHEMBL257834,CC(C)(C)CN1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,inactive,3000.0,548.7130000000002,4.213000000000003,3.0,7.0
CHEMBL406375,c1ccc(-c2n[nH]c3c2oc2ccccc23)cc1,inactive,10000.0,234.258,3.9761000000000015,1.0,2.0
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,inactive,9000.0,327.181,4.092000000000002,2.0,1.0
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,inactive,14000.0,354.4580000000001,3.2021000000000015,3.0,7.0
CHEMBL265470,CC(=O)O.O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,active,10.0,374.3520000000001,3.381000000000001,2.0,5.0
CHEMBL524266,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,active,846.0,275.287,1.2405,3.0,4.0
CHEMBL274064,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,inactive,19000.0,338.39000000000016,2.6529000000000007,2.0,6.0
CHEMBL486541,COc1ccccc1-c1c[nH]nc1-c1ccc(OCc2ccccc2F)cc1O,inactive,27400.0,390.41400000000004,5.176000000000003,2.0,4.0
CHEMBL520871,Cc1ccc(COc2ccc(-c3n[nH]cc3-c3ccccc3)c(O)c2)cc1,inactive,16900.0,356.42500000000007,5.336720000000004,2.0,3.0
CHEMBL486540,O=C(/C=C/c1ccccc1)Nc1nc(NC(=O)c2ccccc2)nn1-c1ccccc1,inactive,25600.0,409.44900000000007,4.171500000000003,2.0,5.0
CHEMBL487356,O=C(Nc1nc(NC(=O)c2ccco2)n(-c2ccccc2)n1)c1ccccc1,inactive,18300.0,373.37200000000007,3.3649000000000022,2.0,6.0
CHEMBL487154,O=C(Nc1nc(NC(=O)c2ccccc2)n(-c2ccccc2)n1)c1ccccc1,inactive,8300.0,383.4110000000001,3.7719000000000023,2.0,5.0
CHEMBL507666,O=C1/C(=C/C=C/c2ccccc2)SC(=S)N1Cc1ccc2c(c1)OCO2,inactive,23700.0,381.47800000000024,4.372900000000003,0.0,5.0
CHEMBL487153,COc1cc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)ccc1O,inactive,14300.0,357.4560000000001,3.8022000000000022,1.0,5.0
CHEMBL520882,O=C1/C(=C/c2ccc(O)cc2)SC(=S)N1Cc1ccccc1,inactive,5500.0,327.43,3.7936000000000014,1.0,4.0
CHEMBL445178,NC(=O)c1cc2c(-c3cccc(-c4ccccc4)c3)cnc(N)c2s1,inactive,4300.0,345.4270000000001,4.311400000000001,2.0,4.0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,inactive,4491.0,466.5410000000003,4.354000000000003,2.0,6.0
CHEMBL477817,Cc1c(Nc2c(C#N)cnc3sc(/C=C/C(=O)N4CCCC4)cc23)ccc2[nH]ccc12,inactive,50000.0,427.53300000000024,5.3369000000000035,2.0,5.0
CHEMBL461139,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,inactive,1100.0,413.4810000000003,3.315800000000002,2.0,5.0
CHEMBL461140,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,inactive,2600.0,401.47,3.4240000000000013,2.0,5.0
CHEMBL466496,C[C@@H](Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,inactive,4600.0,293.32599999999996,2.5943000000000005,2.0,5.0
CHEMBL467079,NC(=O)C(Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,inactive,6300.0,322.324,1.059699999999999,3.0,6.0
CHEMBL511410,NC(=O)C(Nc1c(Nc2ccncc2)c(=O)c1=O)c1cccc(O)c1,inactive,4200.0,338.32300000000004,0.7652999999999992,4.0,7.0
CHEMBL468125,C[C@@H](Nc1c(Nc2ccnc(-c3ccccc3F)c2)c(=O)c1=O)c1ccccc1,inactive,50000.0,387.4140000000001,4.400400000000003,2.0,5.0
